Timestamp,Latitude,Longitude,SOG,MMSI,COG,Segment
2025-02-27 07:20:00,0.4072617487138742,0.6045519230853966,0.45145085714285715,200000001,338.3,0.0
2025-02-27 08:00:00,0.407244815734396,0.6045740315225965,0.3526084916666667,200000001,319.3,0.0
2025-02-27 09:10:00,0.4069491957528947,0.6122044845751066,1.97546496,200000001,98.0,0.0
2025-02-27 05:10:00,0.21628556054715506,0.3825460168952166,6.9023866748466265,209392000,22.7,0.0
2025-02-27 05:20:00,0.21826317550708382,0.3868630059404492,6.067257072164949,209392000,78.3,0.0
2025-02-27 05:30:00,0.22257362950583873,0.3893828166496562,4.20824061724138,209392000,42.0,0.0
2025-02-27 05:50:00,0.2192465559589132,0.3874658710918987,7.76938252173913,209392000,199.0,0.0
2025-02-27 06:20:00,0.20896303792469526,0.37886755451620274,1.1281454305882352,209392000,265.9,0.0
2025-02-27 06:30:00,0.2097149044596143,0.379284321359217,3.9134490000000004,209392000,1.3,0.0
2025-02-27 07:10:00,0.22350628522400684,0.38948663230498787,1.5324767596330275,209392000,4.7,0.0
2025-02-27 07:40:00,0.21812980756295236,0.386582235974759,5.862211866666668,209392000,227.59999999999997,0.0
2025-02-27 07:50:00,0.2162001420213311,0.38251987363438295,5.770788828865979,209392000,258.0,0.0
2025-02-27 08:10:00,0.209132487009784,0.3789131942013829,0.5049950285714285,209392000,266.1,0.0
2025-02-27 08:30:00,0.2093212565585265,0.3791374826730803,2.8034432172043013,209392000,2.6,0.0
2025-02-27 08:40:00,0.21386703008271732,0.3809275225122461,4.932405648648649,209392000,26.7,0.0
2025-02-27 09:10:00,0.22340972356820643,0.38937050715777066,0.9555649471264367,209392000,335.6,0.0
2025-02-27 09:20:00,0.22341935103500724,0.38928953771992614,0.0,209392000,262.8,0.0
2025-02-27 09:40:00,0.21853137893310698,0.38709201677853544,5.48421231627907,209392000,221.6,0.0
2025-02-27 09:50:00,0.21627399530831004,0.38285782827499293,5.751591095833334,209392000,254.8,0.0
2025-02-27 10:00:00,0.21107535699254884,0.3799043479537231,6.149202350344828,209392000,203.9,0.0
2025-02-27 10:10:00,0.20912153788375099,0.3789063284866932,0.6389628318181818,209392000,272.0,0.0
2025-02-27 14:10:00,0.20909970565367758,0.3789000245216626,0.57746339,209392000,316.5,0.0
2025-02-27 16:40:00,0.21792219515306868,0.3859464423946926,7.62406008,209392000,226.59999999999997,0.0
2025-02-27 17:10:00,0.20913166794763288,0.37888857294808476,0.39226355,209392000,359.6,0.0
2025-02-27 23:30:00,0.3571974757530651,0.7185798407690691,0.0,209531000,359.0,0.0
2025-02-27 05:30:00,0.38471471288365366,0.7206887729981543,3.1710855794871797,209535000,33.9,0.0
2025-02-27 01:00:00,0.2605661550764705,0.07417309512299579,7.777707354666666,209762000,161.0,0.0
2025-02-27 06:40:00,0.4341216589719787,0.8850033773800056,3.1801992727272723,209764000,10.600000000000001,1.0
2025-02-27 00:10:00,0.19390568743370654,0.8142488244558637,6.851536673333333,209864000,164.1,0.0
2025-02-27 00:20:00,0.18670810908626248,0.8154880520837527,6.861502268852459,209864000,165.9,0.0
2025-02-27 00:50:00,0.1650650551488408,0.8183219052528571,6.599323733333334,209864000,169.3,0.0
2025-02-27 02:20:00,0.10032448770339432,0.8255733878610523,6.949940576923077,209864000,169.1,0.0
2025-02-27 19:30:00,0.2911333529606135,0.8061399087875716,0.0,209864000,164.4,3.0
2025-02-27 20:30:00,0.29113508560516593,0.8061412310161243,0.0,209864000,175.5,3.0
2025-02-27 21:00:00,0.29113601856761556,0.8061412310161243,0.0,209864000,177.4,3.0
2025-02-27 21:30:00,0.2911362584722457,0.8061413579500655,0.0,209864000,171.2,3.0
2025-02-27 05:50:00,0.7877426191697237,0.6079802605281542,5.014114186666667,209903000,313.5,1.0
2025-02-27 01:40:00,0.044246713618022813,0.46464127265007893,3.4761716,210046000,68.9,1.0
2025-02-27 06:30:00,0.07942091745774048,0.5160493397815041,4.723806376470588,210046000,102.0,4.0
2025-02-27 06:40:00,0.08255753828576136,0.517870062993708,5.222386060606061,210046000,34.699999999999996,4.0
2025-02-27 07:10:00,0.09786941751930266,0.5233105279440399,5.248318115384615,210046000,34.0,4.0
2025-02-27 07:40:00,0.10798752056097985,0.5318672912904133,5.150052116363637,210046000,60.4,4.0
2025-02-27 07:50:00,0.11025903412657183,0.5353363926943818,5.105570897777778,210046000,66.6,4.0
2025-02-27 08:20:00,0.11596115623760869,0.5457197943448843,4.992343513043478,210046000,70.8,4.0
2025-02-27 08:40:00,0.12006069961353044,0.5527389111488774,5.111792592307693,210046000,68.0,4.0
2025-02-27 09:10:00,0.12701228658550004,0.5630951938053131,5.217067388235294,210046000,63.0,4.0
2025-02-27 10:00:00,0.14415361461360784,0.5756111299600775,5.2128069,210046000,17.000000000000004,4.0
2025-02-27 10:10:00,0.14940444663386585,0.574991865183922,5.477875925925925,210046000,343.7,4.0
2025-02-27 10:20:00,0.15559358288515074,0.5740307122734744,5.522478393939394,210046000,348.3,4.0
2025-02-27 10:30:00,0.1610958046650543,0.573587653439067,5.635500181818182,210046000,356.7,4.0
2025-02-27 10:40:00,0.1672276016586526,0.5732841641435974,5.5590213411764715,210046000,355.3,4.0
2025-02-27 10:50:00,0.1733526615490253,0.5731865354539486,5.473982388405798,210046000,356.79999999999995,4.0
2025-02-27 11:00:00,0.17887208632510143,0.5738508028565488,5.283642494117648,210046000,13.8,4.0
2025-02-27 11:50:00,0.2014311945193399,0.5822984039942618,4.862485115384616,210046000,41.7,4.0
